case_id,defect_type,entity_type,severity,safe_to_auto_apply,defect_description,repair_action,explanation
SC_0276,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Storage' assigned to 'Mezzanine' but elevation matches 'Level 03',Reassign space from 'Mezzanine' to 'Level 03' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0277,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Server Room' assigned to 'Level 04' but elevation matches 'Basement 2',Reassign space from 'Level 04' to 'Basement 2' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0278,broken_spatial_containment,IfcRamp,high,True,IfcRamp 'Ramp_247' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Roof Level',Every physical element must be spatially contained for coordination.
SC_0279,naming_inconsistency,IfcDoor,low,True,Multiple IfcDoor entities share name 'Door_001',Set Name to 'Door_411',"All elements need unique, meaningful names for schedules and coordination."
SC_0280,missing_property,IfcWall,low,True,IfcWall is missing 'ThermalTransmittance' in Pset_WallCommon,Add property 'ThermalTransmittance' with default value to Pset_WallCommon,ThermalTransmittance is required by IFC schema for IfcWall. A safe default is applied.
SC_0281,missing_material,IfcWall,medium,False,IfcWall has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0282,missing_property,IfcCurtainWall,medium,True,IfcCurtainWall is missing 'IsExternal' in Pset_CurtainWallCommon,Add property 'IsExternal' with default value to Pset_CurtainWallCommon,IsExternal is required by IFC schema for IfcCurtainWall. A safe default is applied.
SC_0283,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Elevator Shaft' assigned to 'Level 05' but elevation matches 'Roof Level',Reassign space from 'Level 05' to 'Roof Level' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0284,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Plant Room' assigned to 'Ground Floor' but elevation matches 'Level 04',Reassign space from 'Ground Floor' to 'Level 04' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0285,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Meeting Room' not aggregated into any storey,Aggregate space into storey 'Roof Level',Spaces must belong to a storey for room-based analysis.
SC_0286,missing_material,IfcColumn,medium,False,IfcColumn has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Glass),Material needed for quantity takeoff and analysis. Suggested: Glass.
SC_0287,missing_property,IfcColumn,medium,True,IfcColumn is missing 'FireRating' in Pset_ColumnCommon,Add property 'FireRating' with default value to Pset_ColumnCommon,FireRating is required by IFC schema for IfcColumn. A safe default is applied.
SC_0288,naming_inconsistency,IfcRamp,low,True,IfcRamp has None Name attribute,Set Name to 'Ramp_183',"All elements need unique, meaningful names for schedules and coordination."
SC_0289,wrong_level_assignment,IfcWall,medium,False,IfcWall 'Wall_431' at z=18.0m assigned to 'Roof Level' instead of 'Level 04',Reassign from 'Roof Level' to 'Level 04',Element placement doesn't match assigned storey elevation.
SC_0290,geometry_clash,IfcSlab,high,False,Bounding-box clash between IfcSlab 'Slab_405' and IfcColumn 'Column_694' (overlap 0.28m),Flag clash for manual resolution between Slab_405 and Column_694,IfcSlab-IfcColumn intersection detected. Requires design review.
SC_0291,invalid_reference,IfcColumn,low,True,IfcColumn has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0292,invalid_reference,IfcCurtainWall,low,True,IfcCurtainWall has OwnerHistory pointing to deleted entity,Reassign OwnerHistory to project default,Broken OwnerHistory causes export failures.
SC_0293,missing_property,IfcWindow,medium,True,IfcWindow is missing 'FireRating' in Pset_WindowCommon,Add property 'FireRating' with default value to Pset_WindowCommon,FireRating is required by IFC schema for IfcWindow. A safe default is applied.
SC_0294,missing_material,IfcMember,medium,False,IfcMember has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Composite),Material needed for quantity takeoff and analysis. Suggested: Composite.
SC_0295,missing_property,IfcRoof,low,True,IfcRoof is missing 'Reference' in Pset_RoofCommon,Add property 'Reference' with default value to Pset_RoofCommon,Reference is required by IFC schema for IfcRoof. A safe default is applied.
SC_0296,naming_inconsistency,IfcWindow,low,True,IfcWindow has None Name attribute,Set Name to 'Window_587',"All elements need unique, meaningful names for schedules and coordination."
SC_0297,geometry_clash,IfcBeam,high,False,Bounding-box clash between IfcBeam 'Beam_341' and IfcColumn 'Column_858' (overlap 0.1m),Flag clash for manual resolution between Beam_341 and Column_858,IfcBeam-IfcColumn intersection detected. Requires design review.
SC_0298,missing_property,IfcBeam,medium,True,IfcBeam is missing 'IsExternal' in Pset_BeamCommon,Add property 'IsExternal' with default value to Pset_BeamCommon,IsExternal is required by IFC schema for IfcBeam. A safe default is applied.
SC_0299,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Bathroom' not aggregated into any storey,Aggregate space into storey 'Level 01',Spaces must belong to a storey for room-based analysis.
SC_0300,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Reception' assigned to 'Basement 1' but elevation matches 'Level 05',Reassign space from 'Basement 1' to 'Level 05' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0301,naming_inconsistency,IfcFooting,low,True,IfcFooting has empty Name attribute,Set Name to 'Footing_147',"All elements need unique, meaningful names for schedules and coordination."
SC_0302,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Corridor' assigned to 'Level 04' but elevation matches 'Mezzanine',Reassign space from 'Level 04' to 'Mezzanine' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0303,invalid_parent_child,IfcSpace,high,True,IfcSpace 'Elevator Shaft' not aggregated into any storey,Aggregate space into storey 'Basement 2',Spaces must belong to a storey for room-based analysis.
SC_0304,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 03' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0305,naming_inconsistency,IfcFooting,low,True,IfcFooting has None Name attribute,Set Name to 'Footing_606',"All elements need unique, meaningful names for schedules and coordination."
SC_0306,geometry_clash,IfcColumn,high,False,Bounding-box clash between IfcColumn 'Column_422' and IfcColumn 'Column_688' (overlap 0.16m),Flag clash for manual resolution between Column_422 and Column_688,IfcColumn-IfcColumn intersection detected. Requires design review.
SC_0307,missing_property,IfcDoor,medium,True,IfcDoor is missing 'IsExternal' in Pset_DoorCommon,Add property 'IsExternal' with default value to Pset_DoorCommon,IsExternal is required by IFC schema for IfcDoor. A safe default is applied.
SC_0308,broken_spatial_containment,IfcBeam,high,True,IfcBeam 'Beam_199' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Basement 2',Every physical element must be spatially contained for coordination.
SC_0309,broken_spatial_containment,IfcSlab,high,True,IfcSlab 'Slab_595' is not contained in any IfcBuildingStorey,Create IfcRelContainedInSpatialStructure linking element to 'Mezzanine',Every physical element must be spatially contained for coordination.
SC_0310,naming_inconsistency,IfcBeam,low,True,IfcBeam has None Name attribute,Set Name to 'Beam_940',"All elements need unique, meaningful names for schedules and coordination."
SC_0311,naming_inconsistency,IfcDoor,low,True,IfcDoor has empty Name attribute,Set Name to 'Door_736',"All elements need unique, meaningful names for schedules and coordination."
SC_0312,missing_material,IfcBeam,medium,False,IfcBeam has no material association via IfcRelAssociatesMaterial,Flag for manual material assignment (suggested: Stone),Material needed for quantity takeoff and analysis. Suggested: Stone.
SC_0313,missing_property,IfcDoor,low,True,IfcDoor is missing 'FireExit' in Pset_DoorCommon,Add property 'FireExit' with default value to Pset_DoorCommon,FireExit is required by IFC schema for IfcDoor. A safe default is applied.
SC_0314,wrong_level_assignment,IfcSpace,medium,False,IfcSpace 'Corridor' assigned to 'Level 05' but elevation matches 'Ground Floor',Reassign space from 'Level 05' to 'Ground Floor' based on elevation,Space elevation should match its parent storey. Needs verification.
SC_0315,missing_property,IfcWall,low,True,IfcWall is missing 'Combustible' in Pset_WallCommon,Add property 'Combustible' with default value to Pset_WallCommon,Combustible is required by IFC schema for IfcWall. A safe default is applied.
SC_0316,missing_property,IfcDoor,low,True,IfcDoor is missing 'HandicapAccessible' in Pset_DoorCommon,Add property 'HandicapAccessible' with default value to Pset_DoorCommon,HandicapAccessible is required by IFC schema for IfcDoor. A safe default is applied.
SC_0317,missing_property,IfcWall,medium,True,IfcWall is missing 'IsExternal' in Pset_WallCommon,Add property 'IsExternal' with default value to Pset_WallCommon,IsExternal is required by IFC schema for IfcWall. A safe default is applied.
SC_0318,geometry_clash,IfcWall,high,False,Bounding-box clash between IfcWall 'Wall_161' and IfcColumn 'Column_591' (overlap 0.19m),Flag clash for manual resolution between Wall_161 and Column_591,IfcWall-IfcColumn intersection detected. Requires design review.
SC_0319,disconnected_storey,IfcBuildingStorey,critical,True,IfcBuildingStorey 'Level 05' not aggregated into any IfcBuilding,Create IfcRelAggregates linking storey to building,Storeys must be children of a building in the spatial hierarchy.
SC_0320,missing_property,IfcRoof,medium,True,IfcRoof is missing 'IsExternal' in Pset_RoofCommon,Add property 'IsExternal' with default value to Pset_RoofCommon,IsExternal is required by IFC schema for IfcRoof. A safe default is applied.
SC_0321,geometry_clash,IfcBeam,high,False,Bounding-box clash between IfcBeam 'Beam_166' and IfcColumn 'Column_925' (overlap 0.27m),Flag clash for manual resolution between Beam_166 and Column_925,IfcBeam-IfcColumn intersection detected. Requires design review.
SC_0322,missing_property,IfcStair,low,True,IfcStair is missing 'NumberOfRiser' in Pset_StairCommon,Add property 'NumberOfRiser' with default value to Pset_StairCommon,NumberOfRiser is required by IFC schema for IfcStair. A safe default is applied.
